tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1732614,AmazonHelp,False,Tue Nov 07 13:39:32 +0000 2017,"@523365 Ok, please keep us posted here. ^MC",,1732613
737188,AmazonHelp,False,Wed Oct 11 12:19:37 +0000 2017,@193739 Merci pour votre commentaire 😊 Vous avez pu résoudre le souci de la commande non livrée ? ^MH,737189,737190
1554869,AmazonHelp,False,Sat Nov 04 12:30:00 +0000 2017,@469296 What was advised when you contacted them? ^PK,1554870,1554868
1511930,AmazonHelp,False,Fri Nov 03 17:49:27 +0000 2017,@470927 I'm sorry for this wait. What was the delivery estimate given at Checkout: https://t.co/Y5jpI9gRhE ^DO,1511927,1511931
1614195,AmazonHelp,False,Thu Nov 09 09:20:00 +0000 2017,@495154 リンクにアクセスできますか？そちらから13桁の番号が確認いただけます。ＥＴ,1614196,1614194
2794300,AmazonHelp,False,Tue Nov 21 21:44:28 +0000 2017,@748692 Oh no! Please call or chat with us here for warranty support: https://t.co/CMkdZZgHQ8 ^MB,,2794301
49938,AmazonHelp,False,Wed Nov 01 18:09:00 +0000 2017,@127184 Thanks! We'd like to look into this with you in real time. Please contact us via phone/chat here: https://t.co/JzP7hlA23B ^AJ,,49937
2922489,AmazonHelp,False,Wed Nov 29 01:54:29 +0000 2017,"@137602 I'm sorry for the recent delivery issues. Have you had a chance to speak to us directly about this: https://t.co/kPRTJAPrz6? If so, what information or options were we able to provide? ^CL",2922488,2922490
641687,AmazonHelp,False,Wed Nov 22 20:55:34 +0000 2017,"@272295 ¡Hola, Julio! Lamentamos lo ocurrido, en este caso ¿ya entraste en contacto con el transportista para más información sobre la entrega del pedido?. ^NB","641688,641689",641690
1075306,AmazonHelp,False,Mon Oct 23 16:52:37 +0000 2017,"@373702 Hola Ene-chan, ¿has recibido los pedidos correctamente? ^KS",1075307,1075308
2830632,AmazonHelp,False,Mon Nov 27 13:12:00 +0000 2017,"@788212 I'm sorry your order hasn't been received, Danielle! We want to help get this resolved for you. What is the latest order status showing here: https://t.co/aaDyEz1VgE ? ^TH",2830633,2830634
